,rdPr,hm,cl,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,totBW,ARL,AWL
0,RO,hit,clean,2803440,936871.691058,nan,17940330779.918755,0,17.940330779918753,936.871691058,
1,RO,hit,dirty,2803440,936871.691058,nan,17940330779.918755,0,17.940330779918753,936.871691058,
2,RO,miss,clean,2757989,205409.202749,nan,17650783862.323883,0,17.650783862323884,205.409202749,
3,RO,miss,dirty,1324891,1360413.958474,nan,8478598400,0,8.4785984,1360.413958474,
4,R67,hit,clean,2727601,881360.769044,23770.560209,11575030650.682190,5880248101.712784,17.455278752394975,881.360769044,23.770560209
5,R67,hit,dirty,2727601,881360.769044,23770.560209,11575030650.682190,5880248101.712784,17.455278752394975,881.360769044,23.770560209
6,R67,miss,clean,2757310,122641.706798,23751.745782,11702294585.488914,5944324868.741914,17.646619454230827,122.641706798,23.751745782
7,R67,miss,dirty,1324419,1427076.109855,27765.434505,5621556340.892149,2853594081.645875,8.475150422538023,1427.076109855,27.765434505
8,WO,hit,clean,2756999,nan,23743.912778,0,17644750534.727959,17.644750534727958,,23.743912778000002
9,WO,hit,dirty,2756999,nan,23743.912778,0,17644750534.727959,17.644750534727958,,23.743912778000002
10,WO,miss,clean,2756999,nan,23743.912778,0,17644750534.727959,17.644750534727958,,23.743912778000002
11,WO,miss,dirty,1325389,nan,27787.703829,0,8482366204.419415,8.482366204419415,,27.787703828999998
